VCD info: dumpfile tb_FPU.vcd opened for output.
          0 A = 00000000000000000000000000000000, B = 00000000000000000000000000000000, Sel = 00, Y = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, Overflow = x, Error = x
         38 A = 01111111000000010000000000000000, B = 01111111000000010000000000000000, Sel = 01, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
         39 A = 01111111000000010000000000000000, B = 01111111000000010000000000000000, Sel = 01, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
         40 A = 01111111000000010000000000000000, B = 01111111000000010000000000000000, Sel = 01, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
         41 A = 00000000000000010000000000000000, B = 11111111000000010000000000000000, Sel = 11, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
         42 A = 00000000000000010000000000000000, B = 11111111000000010000000000000000, Sel = 11, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
         43 A = 00000000000000010000000000000000, B = 11111111000000010000000000000000, Sel = 11, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
         44 A = 00000000000000010000000000000000, B = 11111111000000010000000000000000, Sel = 11, Y = 10000000000000000000000000000000, Overflow = 0, Error = 0
         45 A = 01111111100000000000000000000000, B = 11111111100000000000000000000000, Sel = 00, Y = 10000000000000000000000000000000, Overflow = 0, Error = 0
         46 A = 01111111100000000000000000000000, B = 11111111100000000000000000000000, Sel = 00, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
         47 A = 01111111100000000000000000000000, B = 11111111100000000000000000000000, Sel = 00, Y = 00000000000000000000000000000000, Overflow = 0, Error = 1
         48 A = 01111111100000000000000000000000, B = 11111111100000000000000000000000, Sel = 00, Y = 01111111110000000000000000000000, Overflow = 0, Error = 1
         49 A = 00000000000000000000000000000000, B = 01111111100000000000000000000000, Sel = 10, Y = 01111111110000000000000000000000, Overflow = 0, Error = 1
         50 A = 00000000000000000000000000000000, B = 01111111100000000000000000000000, Sel = 10, Y = 00000000000000000000000000000000, Overflow = 0, Error = 1
         51 A = 00000000000000000000000000000000, B = 01111111100000000000000000000000, Sel = 10, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
         52 A = 00000000000000000000000000000000, B = 01111111100000000000000000000000, Sel = 10, Y = 00000000000000000000000000000000, Overflow = 0, Error = 1
         53 A = 00000000000000000000000000000000, B = 01111111100000000000000000000000, Sel = 10, Y = 01111111110000000000000000000000, Overflow = 0, Error = 1
         54 A = 00000000000000000000000000000000, B = 00000000000000000000000000000000, Sel = 11, Y = 01111111110000000000000000000000, Overflow = 0, Error = 1
