          0 00000000000000000000000000000000 00000000000000000000000000000000 00 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx x x
         68 11000010100000000000000000000000 01000010111111100000000000000000 00 01000010111110000000000000000000 0 0
         69 11000010100000000000000000000000 01000010111111100000000000000000 00 01000010111110000000000000000000 0 0
         70 11000010100000000000000000000000 01000010111111100000000000000000 00 01000010011111000000000000000000 0 0
         71 11000010100000000000000000000000 01000010111111100000000000000000 00 01000010011111000000000000000000 0 0
         72 01000010111111100000000000000000 11000010000000000000000000000000 00 01000010011111000000000000000000 0 0
         73 01000010111111100000000000000000 11000010000000000000000000000000 00 01000010011111000000000000000000 0 0
         74 01000010111111100000000000000000 11000010000000000000000000000000 00 01000010101111100000000000000000 0 0
         75 01000010111111100000000000000000 11000010000000000000000000000000 00 01000010101111100000000000000000 0 0
         76 11000010111111100000000000000000 01000001111100000000000000000000 00 01000010101111100000000000000000 0 0
         77 11000010111111100000000000000000 01000001111100000000000000000000 00 01000010101111100000000000000000 0 0
         78 11000010111111100000000000000000 01000001111100000000000000000000 00 11000010110000100000000000000000 0 0
         79 11000010111111100000000000000000 01000001111100000000000000000000 00 11000010110000100000000000000000 0 0
         80 01000001100000000000000000000000 11000001110110000000000000000000 00 11000010110000100000000000000000 0 0
         81 01000001100000000000000000000000 11000001110110000000000000000000 00 11000010110000100000000000000000 0 0
         82 01000001100000000000000000000000 11000001110110000000000000000000 00 11000001001100000000000000000000 0 0
         83 01000001100000000000000000000000 11000001110110000000000000000000 00 11000001001100000000000000000000 0 0
         84 11000011000000010000000000000000 11000010111100000000000000000000 00 11000001001100000000000000000000 0 0
         85 11000011000000010000000000000000 11000010111100000000000000000000 00 11000001001100000000000000000000 0 0
         86 11000011000000010000000000000000 11000010111100000000000000000000 00 11000011011110010000000000000000 0 0
         87 11000011000000010000000000000000 11000010111100000000000000000000 00 11000011011110010000000000000000 0 0
         88 11000011000000010000000000000000 11000011000100000000000000000000 00 11000011011110010000000000000000 0 0
         89 11000011000000010000000000000000 11000011000100000000000000000000 00 11000011011110010000000000000000 0 0
         90 11000011000000010000000000000000 11000011000100000000000000000000 00 11000011100010001000000000000000 0 0
         91 11000011000000010000000000000000 11000011000100000000000000000000 00 11000011100010001000000000000000 0 0
         92 11000001011000000000000000000000 11000010111111100000000000000000 00 11000011100010001000000000000000 0 0
         93 11000001011000000000000000000000 11000010111111100000000000000000 00 11000011100010001000000000000000 0 0
         94 11000001011000000000000000000000 11000010111111100000000000000000 00 11000011000011010000000000000000 0 0
         95 11000001011000000000000000000000 11000010111111100000000000000000 00 11000011000011010000000000000000 0 0
         96 11000001111110000000000000000000 11000000000000000000000000000000 00 11000011000011010000000000000000 0 0
         97 11000001111110000000000000000000 11000000000000000000000000000000 00 11000011000011010000000000000000 0 0
         98 11000001111110000000000000000000 11000000000000000000000000000000 00 11000010000001000000000000000000 0 0
         99 11000001111110000000000000000000 11000000000000000000000000000000 00 11000010000001000000000000000000 0 0
        100 01000011000000010000000000000000 01000010111100000000000000000000 01 11000010000001000000000000000000 0 0
        101 01000011000000010000000000000000 01000010111100000000000000000000 01 11000010000001000000000000000000 0 0
        102 01000011000000010000000000000000 01000010111100000000000000000000 01 01000001000100000000000000000000 0 0
        103 01000011000000010000000000000000 01000010111100000000000000000000 01 01000001000100000000000000000000 0 0
        104 01000011000000010000000000000000 01000011000000000000010000000000 01 01000001000100000000000000000000 0 0
        105 01000011000000010000000000000000 01000011000000000000010000000000 01 01000001000100000000000000000000 0 0
        106 01000011000000010000000000000000 01000011000000000000010000000000 01 00111111011111001000000000000000 0 0
        107 01000011000000010000000000000000 01000011000000000000010000000000 01 00111111011111001000000000000000 0 0
        108 01000001011000000000000000000000 01000010111111100000000000000000 01 00111111011111001000000000000000 0 0
        109 01000001011000000000000000000000 01000010111111100000000000000000 01 00111111011111001000000000000000 0 0
        110 01000001011000000000000000000000 01000010111111100000000000000000 01 11000010111000100000000000000000 0 0
        111 01000001011000000000000000000000 01000010111111100000000000000000 01 11000010111000100000000000000000 0 0
        112 01000001111110000000000000000000 01000000000000000000000000000000 01 11000010111000100000000000000000 0 0
        113 01000001111110000000000000000000 01000000000000000000000000000000 01 11000010111000100000000000000000 0 0
        114 01000001111110000000000000000000 01000000000000000000000000000000 01 01000001111010000000000000000000 0 0
        115 01000001111110000000000000000000 01000000000000000000000000000000 01 01000001111010000000000000000000 0 0
        116 01000010111111100000000000000000 11000000010000000000000000000000 01 01000001111010000000000000000000 0 0
        117 01000010111111100000000000000000 11000000010000000000000000000000 01 01000001111010000000000000000000 0 0
        118 01000010111111100000000000000000 11000000010000000000000000000000 01 01000011000000100000000000000000 0 0
        119 01000010111111100000000000000000 11000000010000000000000000000000 01 01000011000000100000000000000000 0 0
        120 11000010100000000000000000000000 01000010111111100000000000000000 01 01000011000000100000000000000000 0 0
        121 11000010100000000000000000000000 01000010111111100000000000000000 01 01000011000000100000000000000000 0 0
        122 11000010100000000000000000000000 01000010111111100000000000000000 01 11000011001111110000000000000000 0 0
        123 11000010100000000000000000000000 01000010111111100000000000000000 01 11000011001111110000000000000000 0 0
        124 01000010111111100000000000000000 11000010000000000000000000000000 01 11000011001111110000000000000000 0 0
        125 01000010111111100000000000000000 11000010000000000000000000000000 01 11000011001111110000000000000000 0 0
        126 01000010111111100000000000000000 11000010000000000000000000000000 01 01000011000111110000000000000000 0 0
        127 01000010111111100000000000000000 11000010000000000000000000000000 01 01000011000111110000000000000000 0 0
        128 11000010111111100000000000000000 01000001111100000000000000000000 01 01000011000111110000000000000000 0 0
        129 11000010111111100000000000000000 01000001111100000000000000000000 01 01000011000111110000000000000000 0 0
        130 11000010111111100000000000000000 01000001111100000000000000000000 01 11000011000111010000000000000000 0 0
        131 11000010111111100000000000000000 01000001111100000000000000000000 01 11000011000111010000000000000000 0 0
        132 01000001100000000000000000000000 11000001110110000000000000000000 01 11000011000111010000000000000000 0 0
        133 01000001100000000000000000000000 11000001110110000000000000000000 01 11000011000111010000000000000000 0 0
        134 01000001100000000000000000000000 11000001110110000000000000000000 01 01000010001011000000000000000000 0 0
        135 01000001100000000000000000000000 11000001110110000000000000000000 01 01000010001011000000000000000000 0 0
        136 11000011000000010000000000000000 11000010111100000000000000000000 01 01000010001011000000000000000000 0 0
        137 11000011000000010000000000000000 11000010111100000000000000000000 01 01000010001011000000000000000000 0 0
        138 11000011000000010000000000000000 11000010111100000000000000000000 01 11000001000100000000000000000000 0 0
        139 11000011000000010000000000000000 11000010111100000000000000000000 01 11000001000100000000000000000000 0 0
        140 11000011000000010000000000000000 11000011000100000000000000000000 01 11000001000100000000000000000000 0 0
        141 11000011000000010000000000000000 11000011000100000000000000000000 01 11000001000100000000000000000000 0 0
        142 11000011000000010000000000000000 11000011000100000000000000000000 01 01000001011100000000000000000000 0 0
        143 11000011000000010000000000000000 11000011000100000000000000000000 01 01000001011100000000000000000000 0 0
        144 11000001011000000000000000000000 11000010111111100000000000000000 01 01000001011100000000000000000000 0 0
        145 11000001011000000000000000000000 11000010111111100000000000000000 01 01000001011100000000000000000000 0 0
        146 11000001011000000000000000000000 11000010111111100000000000000000 01 01000010111000100000000000000000 0 0
        147 11000001011000000000000000000000 11000010111111100000000000000000 01 01000010111000100000000000000000 0 0
        148 11000001111110000000000000000000 11000000000000000000000000000000 01 01000010111000100000000000000000 0 0
        149 11000001111110000000000000000000 11000000000000000000000000000000 01 01000010111000100000000000000000 0 0
        150 11000001111110000000000000000000 11000000000000000000000000000000 01 11000001111010000000000000000000 0 0
        151 11000001111110000000000000000000 11000000000000000000000000000000 01 11000001111010000000000000000000 0 0
        152 01000010010011000000000000000000 01000001110110000000000000000000 10 11000001111010000000000000000000 0 0
        153 01000010010011000000000000000000 01000001110110000000000000000000 10 11000001111010000000000000000000 0 0
        154 01000010010011000000000000000000 01000001110110000000000000000000 10 01000100101011000000000000000000 0 0
        155 01000010010011000000000000000000 01000001110110000000000000000000 10 01000100101011000000000000000000 0 0
        156 01000010111100000000000000000000 01000000010000000000000000000000 10 01000100101011000000000000000000 0 0
        157 01000010111100000000000000000000 01000000010000000000000000000000 10 01000100101011000000000000000000 0 0
        158 01000010111100000000000000000000 01000000010000000000000000000000 10 01000011101101000000000000000000 0 0
        159 01000010111100000000000000000000 01000000010000000000000000000000 10 01000011101101000000000000000000 0 0
        160 00111111100000000000000000000000 01000001101100000000000000000000 10 01000011101101000000000000000000 0 0
        161 00111111100000000000000000000000 01000001101100000000000000000000 10 01000011101101000000000000000000 0 0
        162 00111111100000000000000000000000 01000001101100000000000000000000 10 01000001101100000000000000000000 0 0
        163 00111111100000000000000000000000 01000001101100000000000000000000 10 01000001101100000000000000000000 0 0
        164 11000010010011000000000000000000 01000001110110000000000000000000 10 01000001101100000000000000000000 0 0
        165 11000010010011000000000000000000 01000001110110000000000000000000 10 01000001101100000000000000000000 0 0
        166 11000010010011000000000000000000 01000001110110000000000000000000 10 11000100101011000000000000000000 0 0
        167 11000010010011000000000000000000 01000001110110000000000000000000 10 11000100101011000000000000000000 0 0
        168 01000010111100000000000000000000 11000000010000000000000000000000 10 11000100101011000000000000000000 0 0
        169 01000010111100000000000000000000 11000000010000000000000000000000 10 11000100101011000000000000000000 0 0
        170 01000010111100000000000000000000 11000000010000000000000000000000 10 11000011101101000000000000000000 0 0
        171 01000010111100000000000000000000 11000000010000000000000000000000 10 11000011101101000000000000000000 0 0
        172 00111111100000000000000000000000 11000001101100000000000000000000 10 11000011101101000000000000000000 0 0
        173 00111111100000000000000000000000 11000001101100000000000000000000 10 11000011101101000000000000000000 0 0
        174 00111111100000000000000000000000 11000001101100000000000000000000 10 11000001101100000000000000000000 0 0
        175 00111111100000000000000000000000 11000001101100000000000000000000 10 11000001101100000000000000000000 0 0
        176 11000010010011000000000000000000 11000001110110000000000000000000 10 11000001101100000000000000000000 0 0
        177 11000010010011000000000000000000 11000001110110000000000000000000 10 11000001101100000000000000000000 0 0
        178 11000010010011000000000000000000 11000001110110000000000000000000 10 01000100101011000000000000000000 0 0
        179 11000010010011000000000000000000 11000001110110000000000000000000 10 01000100101011000000000000000000 0 0
        180 11000010111100000000000000000000 11000000010000000000000000000000 10 01000100101011000000000000000000 0 0
        181 11000010111100000000000000000000 11000000010000000000000000000000 10 01000100101011000000000000000000 0 0
        182 11000010111100000000000000000000 11000000010000000000000000000000 10 01000011101101000000000000000000 0 0
